15 Jul 2018 - Play Offs,1,X,2,B's,,
,,,,,,
15:00,France - Croatia,4:02,116,206,325,12
14 Jul 2018 - Play Offs,1,X,2,B's,,
,,,,,,
14:00,Belgium - England,2:00,120,283,224,12
11 Jul 2018 - Play Offs,1,X,2,B's,,
,,,,,,
18:00,Croatia - England,2:1 ET,290,200,129,12
10 Jul 2018 - Play Offs,1,X,2,B's,,
,,,,,,
18:00,France - Belgium,1:00,161,214,206,12
07 Jul 2018 - Play Offs,1,X,2,B's,,
,,,,,,
18:00,Russia - Croatia,2:3 pen.,309,218,114,12
14:00,Sweden - England,0:02,423,240,-118,12
06 Jul 2018 - Play Offs,1,X,2,B's,,
,,,,,,
18:00,Brazil - Belgium,1:02,112,246,275,12
14:00,Uruguay - France,0:02,373,213,102,12
03 Jul 2018 - Play Offs,1,X,2,B's,,
,,,,,,
18:00,Colombia - England,1:2 pen.,313,213,114,12
14:00,Sweden - Switzerland,1:00,243,196,152,12
02 Jul 2018 - Play Offs,1,X,2,B's,,
,,,,,,
18:00,Belgium - Japan,3:02,-233,370,768,12
14:00,Brazil - Mexico,2:00,-208,348,676,12
01 Jul 2018 - Play Offs,1,X,2,B's,,
,,,,,,
18:00,Croatia - Denmark,2:1 pen.,-101,224,366,12
14:00,Spain - Russia,1:2 pen.,-167,315,539,12
30 Jun 2018 - Play Offs,1,X,2,B's,,
,,,,,,
18:00,Uruguay - Portugal,2:01,209,199,173,12
14:00,France - Argentina,4:03,145,213,234,12
28-Jun-18,1,X,2,B's,,
,,,,,,
18:00,England - Belgium,0:01,147,184,272,12
18:00,Panama - Tunisia,1:02,337,278,-114,12
14:00,Japan - Poland,0:01,194,214,173,12
14:00,Senegal - Colombia,0:01,419,281,-132,12
27-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Serbia - Brazil,0:02,659,368,-213,12
18:00,Switzerland - Costa Rica,2:02,-167,269,659,12
14:00,Mexico - Sweden,0:03,121,240,259,12
14:00,South Korea - Germany,2:00,1839,739,-588,12
26-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Iceland - Croatia,1:02,344,299,-122,12
18:00,Nigeria - Argentina,1:02,498,426,-200,12
14:00,Australia - Peru,0:02,193,254,148,12
14:00,Denmark - France,0:00,432,181,108,12
25-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Iran - Portugal,1:01,540,309,-167,12
18:00,Spain - Morocco,2:02,-278,417,927,12
14:00,Saudi Arabia - Egypt,2:01,447,263,-130,12
14:00,Uruguay - Russia,3:00,179,208,191,12
24-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Poland - Colombia,0:03,250,246,121,12
15:00,Japan - Senegal,2:02,222,199,164,12
12:00,England - Panama,6:01,-455,547,1764,12
23-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Germany - Sweden,2:01,-213,365,661,12
15:00,South Korea - Mexico,1:02,474,281,-143,12
12:00,Belgium - Tunisia,5:02,-303,419,1107,12
22-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Serbia - Switzerland,1:02,175,206,195,12
15:00,Nigeria - Iceland,2:00,198,209,172,12
12:00,Brazil - Costa Rica,2:00,-476,569,1795,12
21-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Argentina - Croatia,0:03,108,229,311,12
15:00,France - Peru,1:00,-164,287,559,12
12:00,Denmark - Australia,1:01,-110,243,367,12
20-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Iran - Spain,0:01,1805,585,-476,12
15:00,Uruguay - Saudi Arabia,1:00,-455,574,1714,12
12:00,Portugal - Morocco,1:00,-143,270,501,12
19-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Russia - Egypt,3:01,-105,257,330,12
15:00,Poland - Senegal,1:02,150,206,234,12
12:00,Colombia - Japan,1:02,-112,234,409,12
18-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Tunisia - England,1:02,744,320,-204,12
15:00,Belgium - Panama,3:00,-455,579,1678,12
12:00,Sweden - South Korea,1:00,127,204,292,12
17-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Brazil - Switzerland,1:01,-208,343,708,12
15:00,Germany - Mexico,0:01,-204,355,620,12
12:00,Costa Rica - Serbia,0:01,434,243,-119,12
16-Jun-18,1,X,2,B's,,
,,,,,,
19:00,Croatia - Nigeria,2:00,-147,278,514,12
16:00,Peru - Denmark,0:01,271,211,131,12
13:00,Argentina - Iceland,1:01,-303,443,1027,12
10:00,France - Australia,2:01,-370,622,939,12
15-Jun-18,1,X,2,B's,,
,,,,,,
18:00,Portugal - Spain,3:03,338,227,104,12
15:00,Morocco - Iran,0:01,123,198,316,12
12:00,Egypt - Uruguay,0:01,736,309,-192,12
14-Jun-18,1,X,2,B's,,
,,,,,,
15:00,Russia - Saudi Arabia,5:00,-217,334,807,12
