11 Jul 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,Netherlands - Spain,0:1 ET,290,238,102,6
10 Jul 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,Uruguay - Germany,2:03,286,268,-108,6
07 Jul 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,Germany - Spain,0:01,181,238,152,6
06 Jul 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,Uruguay - Netherlands,2:03,468,254,-145,6
03 Jul 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,Paraguay - Spain,0:01,800,326,-238,6
14:00,Argentina - Germany,0:04,131,229,219,6
02 Jul 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,Uruguay - Ghana,2:1 pen.,-116,237,351,6
14:00,Netherlands - Brazil,2:01,309,227,100,6
29 Jun 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,Spain - Portugal,1:00,100,223,319,6
14:00,Paraguay - Japan,1:0 pen.,120,217,260,6
28 Jun 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,Brazil - Chile,3:00,-189,282,599,6
14:00,Netherlands - Slovakia,2:01,-256,350,863,6
27 Jun 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,Argentina - Mexico,3:01,-164,273,524,6
14:00,Germany - England,4:01,197,206,160,6
26 Jun 2010 - Play Offs,1,X,2,B's,,
,,,,,,
18:30,USA - Ghana,1:2 ET,141,210,222,6
14:00,Uruguay - South Korea,2:01,-119,234,390,6
25-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Chile - Spain,1:02,589,315,-196,6
18:30,Switzerland - Honduras,0:00,-182,301,562,6
14:00,North Korea - Ivory Coast,0:03,835,399,-286,6
14:00,Portugal - Brazil,0:00,250,192,138,6
24-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Cameroon - Netherlands,1:02,453,281,-154,6
18:30,Denmark - Japan,1:03,125,224,237,6
14:00,Paraguay - New Zealand,0:00,-256,348,852,6
14:00,Slovakia - Italy,3:02,597,284,-182,6
23-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Australia - Serbia,2:01,346,259,-120,6
18:30,Ghana - Germany,0:01,680,334,-222,6
14:00,Slovenia - England,0:01,707,330,-222,6
14:00,USA - Algeria,1:00,-115,260,322,6
22-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Greece - Argentina,0:02,635,324,-208,6
18:30,Nigeria - South Korea,2:02,193,229,147,6
14:00,France - South Africa,1:02,108,248,254,6
14:00,Mexico - Uruguay,0:01,274,-104,265,6
21-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Spain - Honduras,2:00,-833,777,2325,6
14:00,Chile - Switzerland,1:00,117,218,267,6
11:30,Portugal - North Korea,7:00,-270,348,932,6
20-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Brazil - Ivory Coast,3:01,-137,248,442,6
14:00,Italy - New Zealand,1:01,-455,488,1573,6
11:30,Slovakia - Paraguay,0:02,287,224,106,6
19-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Cameroon - Denmark,1:02,189,220,156,6
14:00,Ghana - Australia,1:01,137,215,223,6
11:30,Netherlands - Japan,1:00,-227,316,794,6
18-Jun-10,1,X,2,B's,,
,,,,,,
18:30,England - Algeria,0:00,-435,488,1493,6
14:00,Slovenia - USA,2:02,275,222,112,6
11:30,Germany - Serbia,0:01,-156,265,474,6
17-Jun-10,1,X,2,B's,,
,,,,,,
18:30,France - Mexico,0:02,108,215,295,6
14:00,Greece - Nigeria,2:01,279,218,112,6
11:30,Argentina - South Korea,4:01,-196,287,659,6
16-Jun-10,1,X,2,B's,,
,,,,,,
18:30,South Africa - Uruguay,0:03,237,202,138,6
14:00,Spain - Switzerland,0:01,-370,430,1332,6
11:30,Honduras - Chile,0:01,480,246,-143,6
15-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Brazil - North Korea,2:01,-1000,861,3167,6
14:00,Ivory Coast - Portugal,0:00,296,220,106,6
11:30,New Zealand - Slovakia,1:01,665,294,-200,6
14-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Italy - Paraguay,1:01,118,204,282,6
14:00,Japan - Cameroon,1:00,266,212,119,6
11:30,Netherlands - Denmark,2:00,-196,301,630,6
13-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Germany - Australia,4:00,-192,289,634,6
14:00,Serbia - Ghana,0:01,100,222,307,6
11:30,Algeria - Slovenia,0:01,273,214,114,6
12-Jun-10,1,X,2,B's,,
,,,,,,
18:30,England - USA,1:01,-196,312,600,6
14:00,Argentina - Nigeria,1:00,-256,358,796,6
11:30,South Korea - Greece,2:00,172,200,187,6
11-Jun-10,1,X,2,B's,,
,,,,,,
18:30,Uruguay - France,0:00,257,215,121,6
14:00,South Africa - Mexico,1:01,196,213,156,6
