09 Jul 2006 - Play Offs,1,X,2,B's,,
,,,,,,
18:00,Italy - France,2:1 pen.,154,181,224,3
08 Jul 2006 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Germany - Portugal,3:01,-114,241,330,3
05 Jul 2006 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Portugal - France,0:01,292,186,120,3
04 Jul 2006 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Germany - Italy,0:2 ET,146,189,227,3
01 Jul 2006 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Brazil - France,0:01,-133,241,399,4
15:00,England - Portugal,0:1 pen.,110,199,300,3
30 Jun 2006 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Italy - Ukraine,3:00,-175,248,594,4
15:00,Germany - Argentina,2:1 pen.,150,206,199,3
27 Jun 2006 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Spain - France,1:03,137,200,221,4
15:00,Brazil - Ghana,3:00,-370,441,934,4
26 Jun 2006 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Switzerland - Ukraine,0:1 pen.,137,211,217,3
15:00,Italy - Australia,1:00,-192,282,595,4
25 Jun 2006 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Portugal - Netherlands,1:00,212,206,144,3
15:00,England - Ecuador,1:00,-204,286,637,4
24 Jun 2006 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Argentina - Mexico,2:1 ET,-278,326,918,4
15:00,Germany - Sweden,2:00,-164,266,488,4
23-Jun-06,1,X,2,B's,,
,,,,,,
19:00,Switzerland - South Korea,2:00,-103,197,343,4
19:00,Togo - France,0:02,1530,666,-769,3
14:00,Saudi Arabia - Spain,0:01,1603,606,-667,4
14:00,Ukraine - Tunisia,1:00,-169,271,503,4
22-Jun-06,1,X,2,B's,,
,,,,,,
19:00,Croatia - Australia,2:02,120,229,210,1
19:00,Japan - Brazil,1:04,1100,500,-500,1
14:00,Czech Republic - Italy,0:02,295,215,-105,1
13-Jun-06,1,X,2,B's,,
,,,,,,
16:00,France - Switzerland,0:00,-154,240,480,1
12-Jun-06,1,X,2,B's,,
,,,,,,
13:00,Australia - Japan,3:01,150,215,179,1
11-Jun-06,1,X,2,B's,,
,,,,,,
16:00,Mexico - Iran,3:01,-179,265,587,1
13:00,Serbia and Montenegro - Netherlands,0:01,315,222,-106,2
10-Jun-06,1,X,2,B's,,
,,,,,,
19:00,Argentina - Ivory Coast,2:01,-167,259,543,1
16:00,Trinidad & Tobago - Sweden,0:00,1134,415,-345,1
13:00,England - Paraguay,1:00,-152,242,484,3
09-Jun-06,1,X,2,B's,,
,,,,,,
19:00,Poland - Ecuador,0:02,-111,225,275,1
16:00,Germany - Costa Rica,4:02,-400,417,1123,5
